Year,Region,country,Bev Types,Dislay value
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1990,CAN,India,whisky,0.58
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
1975,Asia,Texas,other,0.5
1989,Asia,India,wine,0.89
1989,EUR,India,other,0.56
1989,US,Australia,wine,
1975,US,India,other,0.73
1989,US,Texas,wine,0.24
1989,CAN,Texas,other,0.96
1986,Asia,Texas,wine,0
1986,US,India,other,0.5
1985,EUR,Texas,whisky,1.2
1989,Asia,Texas,wine,
